,username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
6970,justintimberlake,https://www.instagram.com/p/CQWchogn3nT,1624210820,./imgs/CQWchogn3nT.png,"Being a dad is better than I ever could have imagined. Thankful to my dads and my grandfathers for leading the way, making the sacrifices for me to live out my dreams, and for teaching me that REAL LIFE happens in all the little moments. Happy Father’s Day to all the dads out there!!!",512317,2237,0,285,54,0,0,False
6971,justintimberlake,https://www.instagram.com/p/CQR2XYCn-6T,1624056595,./imgs/CQR2XYCn-6T.png,"I’m so proud of these incredible students at @staxmusicacademy - they blew me away again this year, and I’m happy we were able to make this program work despite the fact that we couldn’t do it in person. A lot of zooms later — it’s clear this group of students has truly taken their art to the next level. Honored to be part of it… and to witness the progress. Y’all are so talented. Here are a few clips from the process, which I hope inspires any young people interested in making music, to keep working and keep collaborating. Can’t wait to do this again next year - in person in Memphis! 🙏🏻",106489,1041,0,594,113,2,1,False
6972,justintimberlake,https://www.instagram.com/p/CPlnRodnRLE,1622572299,./imgs/CPlnRodnRLE.png,Congrats to @timbaland and @therealswizzz for one year of Verzuz! 👍,198175,1764,0,67,11,1,3,True
6973,justintimberlake,https://www.instagram.com/p/CPT9zGwnKnz,1621980117,./imgs/CPT9zGwnKnz.png,"It’s been exactly one year since George Floyd was murdered at the hands of Minneapolis police officers. Today, we remember him — as a father, a brother, a son, a @kingjames fan, a mentor.⁣
⁣
No one is saying he was perfect but, who is?? What we need to remember is that he was human. ⁣
⁣
It’s so crucial to continue to demand justice for him and the entire Black community in the US, who too often, are affected by police brutality. ⁣
⁣
Over the last year, some powerful voices that I really respect and admire have taken over my platform to talk about what investing in community and public safety SHOULD look like. I’m going to share some of these platforms and profiles below, so they’re all in one place. Please follow them, and keep checking in to learn more about how we can each take real steps towards reducing police violence around the country. My hope is that we continue to hold each other accountable - and educate ourselves. There should be no room for racism, or hate, or violence in our world. And there is no way to justify murder. ⁣
⁣
Rest in Power, George Floyd. ⁣
⁣
Resources and accounts to follow: ⁣
@colorofchange ⁣
@byp100 ⁣
@blackfutureslab 
@blklivesmatter ⁣
@naacp 
@policingequity 
@osopepatrisse 
@iamrashadrobinson 
@chasinggarza ⁣
@tiffanydloftin",279792,3747,0,1277,224,0,1,False
6974,justintimberlake,https://www.instagram.com/p/CO5WrZ5h9e8,1621087192,./imgs/CO5WrZ5h9e8.png,I don’t know who was freaking out more... me or my six year old 👊🏻 This was the coolest. Big thank you to @waltdisneyworld for an amazing trip.,306101,2178,0,143,28,2,2,False
6975,justintimberlake,https://www.instagram.com/p/COqWgLYhOeo,1620583783,./imgs/COqWgLYhOeo.png,"Moms are the strongest people on the planet. I am constantly in awe of the mothers in my life. Jess - you’re the heart of this family. Your boys look up to you and love you unconditionally. And so do I.

And mom - your strength and support have taught me everything I know about being a parent. I’m so grateful for your guidance and I hope I make you proud. Happy Mother’s Day to all the BADASS Mom’s out there! I bow down to you all!🙌🏻",992533,2952,0,436,87,2,0,False
6976,justintimberlake,https://www.instagram.com/p/COa7oKRhkXK,1620066487,./imgs/COa7oKRhkXK.png,My brothers. 🙏🏻 @djkhaled @timbaland @therealswizzz,107083,1827,0,51,6,2,3,True
6977,justintimberlake,https://www.instagram.com/p/COS2hkaBUIW,1619795266,./imgs/COS2hkaBUIW.png,Big love to @djkhaled for asking me to be a part of this #KhaledKhaled album! 🙌🏻 I don’t know who needed to hear these lyrics for Just Be today but here they are... you are loved!! ALWAYS BE YOU!!!,250755,2437,1,197,39,2,1,False
6978,justintimberlake,https://www.instagram.com/p/COBlAe0BMpi,1619215656,./imgs/COBlAe0BMpi.png,👀 @DJKHALED @JustinBieber,561049,8024,0,25,3,1,2,False
6979,justintimberlake,https://www.instagram.com/p/CN-c_MgBBIM,1619111867,./imgs/CN-c_MgBBIM.png,"Memphis is my hometown and I’ve always had a lot of pride in that... the people, the music, the food, and the culture. But what most DON’T know about this city is that it that sits on top of some of the world’s cleanest drinking water. It serves over a million local residents. But now that drinking water is at risk because oil companies are planning to build the #ByhaliaPipeline. This pipeline will run through predominantly Black, low-income neighborhoods. This cannot happen. Today, on #EarthDay, please consider what we are doing to the planet AND the people when we destroy sources of clean drinking water simply for the profit of two large companies. Watch to learn more about this and please support the good people of Memphis, by signing the petition in my bio. (Note: the petition is NOT a donation page, just a place to gather signatures to raise awareness on this issue). 🙏🏻 #MemphisStrong",64402,890,3,902,156,2,1,True
6980,justintimberlake,https://www.instagram.com/p/CN6EcrdBg0F,1618963705,./imgs/CN6EcrdBg0F.png,"The outcome of this trial is just the first step. There is a long line of injustices against the Black community, often with no consequences. The work is not nearly done. There are many more families waiting for justice. My heart is with George Floyd’s family today. Artwork by @kadirnelson. #SAYTHEIRNAMES #PoliceReformNOW",407319,3820,2,323,52,0,2,False
6981,justintimberlake,https://www.instagram.com/p/CMQKxjxhGjR,1615410347,./imgs/CMQKxjxhGjR.png,"HBD, ya 🐐!!!! Love you, brother! @timbaland 👑👀",158143,2175,0,46,8,3,1,True
6982,justintimberlake,https://www.instagram.com/p/CMLF4dKBHEB,1615239915,./imgs/CMLF4dKBHEB.png,"These women right here... we are not worthy 🙌🏻 Celebrating your strength, your love, your patience, your support, and your wisdom. Thankful that my sons have such badass women to look up to ❤️ #IWD2021",662623,3431,1,201,35,3,2,False
6983,justintimberlake,https://www.instagram.com/p/CMIQiQzhAE7,1615144837,./imgs/CMIQiQzhAE7.png,This kid!!! 🙌🏻 @ryderpallen congrats on your @criticschoice nomination. Beyond proud... we cheering you on!! #Palmer @appletv,716431,4068,1,125,17,2,3,False
6984,justintimberlake,https://www.instagram.com/p/CL9aqRtBA4G,1614781046,./imgs/CL9aqRtBA4G.png,"Happy Birthday to my favorite person in the world... the strongest, funniest, best, brightest and most beautiful mom/partner/BOSS there is. I’m lucky to learn from you and laugh with you and celebrate you every day. But, today we do it with 🎂!!!!

Here’s to more slow-mos in the wind, jumping into bushes to save our kid’s toys, and timing out jump pics perfectly...

I ❤️ U with all that I know.",1637134,8088,0,396,71,2,1,False
6985,justintimberlake,https://www.instagram.com/p/CLMxYbGhTno,1613148792,./imgs/CLMxYbGhTno.png,,1188382,67052,0,0,0,0,0,False
6986,justintimberlake,https://www.instagram.com/p/CK7Ht7vhlCt,1612556564,./imgs/CK7Ht7vhlCt.png,Congrats on getting to ANOTHER Super Bowl @tombrady the 🐐… LMK if you need me in Tampa this week - I’m ready 🙌🏻 #FBF,282355,15045,1,116,24,3,1,True
6987,justintimberlake,https://www.instagram.com/p/CKovXkIBkY9,1611939777,./imgs/CKovXkIBkY9.png,PALMER is out TODAY on @appletv🙏🏻 @fisherstevens @cheryl_guerriero @ryderpallen,390550,11238,0,79,9,2,4,False
6988,justintimberlake,https://www.instagram.com/p/CKmVHzxhOA2,1611858924,./imgs/CKmVHzxhOA2.png,"My guy @benbrunotraining kicking my ass again! Thank you pushing me to get ready for #PALMER... and for always helping to achieve my goals for roles, tour and LIFE!!! 🙌🏻",201866,3227,1,169,30,2,1,True
6989,justintimberlake,https://www.instagram.com/p/CKjiAdDB2lD,1611764999,./imgs/CKjiAdDB2lD.png,Getting a fake tattoo takes longer than you’d think. BTS #PALMER - coming out this Friday 🙌🏻,337035,3244,1,92,17,2,1,False
6990,justintimberlake,https://www.instagram.com/p/CKefbovBD6A,1611595921,./imgs/CKefbovBD6A.png,"is coming out THIS FRIDAY on @appletv. This is a story about accepting people for who they are, and who they want to be… no contingencies, no questions asked. As a dad, this story hits home. And I’m very honored to be part of this film by #FisherStevens and #CherylGuerriero. Can’t wait for you guys to see it on 1/29… (Spoiler: @ryderpallen will steal your heart 🙏🏼)",322862,7841,2,367,67,2,0,True
6991,justintimberlake,https://www.instagram.com/p/CKUbvQ5hKGj,1611258396,./imgs/CKUbvQ5hKGj.png,"Gotta give Memphis a moment here. It’s my hometown, but it’s also a big part of music history and American history. @StaxMuseum is home to the greatest hits of Otis Redding — it’s also, sadly, where we lost Dr. Martin Luther King Jr. in 1968. Felt fitting to celebrate this new administration here. Our song BETTER DAYS is out now... with a special version including a message by Gospel Legend @KirkFranklin. Link in my bio (and stories) to get it.",524204,3554,0,448,80,0,8,False
6992,justintimberlake,https://www.instagram.com/p/CKUKvziB1_p,1611249553,./imgs/CKUKvziB1_p.png,"Special thanks again to the students and alumni of @staxmusicacademy for being part of the inaugural performance last night. I’ve been working with the students here for years now, and they never cease to amaze. Loved every second of being here, singing with you guys in our hometown for such a big night. 🙏🏻 @antclemons @bideninaugural @staxmuseum",109765,1153,0,348,57,2,4,True
6993,justintimberlake,https://www.instagram.com/p/CKSiPSDBYqs,1611194765,./imgs/CKSiPSDBYqs.png,"Today we all watched @joebiden and @kamalaharris take office — and make history. Tonight, @antclemons and I are deeply honored to perform our new song, BETTER DAYS, as a celebration of everything this administration represents... as well as a reminder to keep our eyes on the road ahead. We have a lot of work to do, but I’m feeling very hopeful for this country right now. A huge thank you to my friends, students and alumni at @staxmusicacademy for performing with us on your grounds in our hometown of Memphis. This is a very special place to me, because it exists to nurture the next generation of great soul communicators. And if we’ve learned anything this year, it’s that this new generation of voices is powerful and crucial to creating much needed change. I hope you all enjoy the performance, and I hope, more than anything, that this song brings a little bit of joy as we move forward. 🙏🏻",225861,6709,0,899,160,2,0,True
6994,justintimberlake,https://www.instagram.com/p/CKSQRUfhQwf,1611185275,./imgs/CKSQRUfhQwf.png,"What a day. As we celebrate a new administration, and our first Madam Vice President — we also celebrate ALL the women who paved the way for us. Coincidentally, it’s my mom’s 60th today. Send her some love! I am forever grateful for your constant support (and your cinnamon sugar toast) @lynnharless. Happy birthday, I love you! 🙏🏻",1347471,11401,0,331,58,2,1,False
6995,justintimberlake,https://www.instagram.com/p/CKMeouIhYSg,1610991480,./imgs/CKMeouIhYSg.png,"Celebrating the legacy of Dr. Martin Luther King, Jr. today — and thinking about the message he would have for this country right now, as we countdown to a new administration.

While he spoke about peace and progress - he also talked about responsibility, allyship... and beyond that, real partnership. “Constructive social change will bring certain tranquility: evasions will merely encourage turmoil. [The Black community] holds only one key to the double lock of peaceful change. The other is in the hands of the white community.” 

We all need to do our part to continue working towards the change that #MLK fought for and was killed for. Because, as he said... there is no other answer.",241655,1248,1,691,116,0,0,False
6996,justintimberlake,https://www.instagram.com/p/CKCXoJohrZ5,1610652261,./imgs/CKCXoJohrZ5.png,"“Your screen time has gone up by 1,000% this week to an estimated total of 25 hours in two days.” Zoom Zoom for #Palmer @appletv",395142,2291,1,128,25,0,1,False
6997,justintimberlake,https://www.instagram.com/p/CJ_LvXaBSYr,1610545428,./imgs/CJ_LvXaBSYr.png,"A few months ago, during lockdown, @antclemons and I wrote a song together called BETTER DAYS. (I actually recorded my final vocals for this song on election night...) ⠀
⠀
This past year brought a lot of frustration, grief, anger — and there were times  when it was easy to feel powerless. This song was our way of doing what little we could to encourage everyone to stay hopeful... and keep working towards a better, more equal future. ⠀
⠀
I’m very honored to announce we will be performing this song on January 20th for the Presidential Inauguration. We have a long way to go to fix, undo, and rebuild this country... but I hope now, despite the past four years, we are on our way. #Inauguration2021",221925,4318,1,701,127,0,1,True
6998,justintimberlake,https://www.instagram.com/p/CJzS1dEBSCZ,1610146432,./imgs/CJzS1dEBSCZ.png,"This man was always so kind to me. He had the best stories about legendary moments in @dodgers baseball history and the best stories about life. He had the type of personality that could light up a room — and when he spoke, you could hear a pin drop... A true 1 of 1. My stepdad, Paul was always a big fan and on one of his birthdays my good friend @boyfromnewyorkcity helped me surprise him with a dinner with Mr. Lasorda (he insisted I call him Tommy. I still always called him Mr. Lasorda). He shows up at my apartment in NYC and told my stepdad (who was awestruck) all the stories behind their legendary wins and losses, and his amazing career. He stayed far longer than I could ever have asked for and was so happy to be there and put a Cheshire Cat smile on my stepdad’s face. This, maybe the most, spoke to his heart and character because I’ve heard so many stories like my own about his generosity and humility. ⠀
⠀
This pic is from backstage at SNL on one of the weeks I was hosting. He wanted to come and see me rehearse and in my element and I was truly honored.⠀
⠀
A real legend and one hell of a man.⠀
⠀
I feel lucky to have shared time with you Mr. “Tommy” Lasorda. I’m sure you’re already raising a little bit of hell up there...⠀",345282,4368,0,1245,244,0,2,False
6999,justintimberlake,https://www.instagram.com/p/CI5zzHHBUlV,1608217594,./imgs/CI5zzHHBUlV.png,directed by Fisher Stevens (script by Cheryl Guerriero). This story is really important to me and I’m proud to be part of it. Coming to @appletv JAN 29 🙏🏻,763330,33083,0,154,29,2,0,True
7000,justintimberlake,https://www.instagram.com/p/CIYZPncBUSh,1607096339,./imgs/CIYZPncBUSh.png,@fairfightaction - fairfight.com,172726,1239,0,32,3,0,3,False
7001,justintimberlake,https://www.instagram.com/p/CIXBaWshhbO,1607050407,./imgs/CIXBaWshhbO.png,"Tonight @antclemons and I performed our new song “Better Days” for @staceyabrams’ Rock The Runoff virtual concert in support of @fairfightaction. We wrote the song together during the lockdown as a reaction to the frustrations and challenges we’ve all been hit with this year... but also as a reminder to stay hopeful and continue working toward a better future. All proceeds from tonight’s event went towards Fair Fight’s incredible work to fight voter suppression and ensure every Georgian can be a part of the January 5 runoff election. This state election is gonna play a crucial role in moving our country forward - and we are not helpless in this fight.

To get involved or get more info — go to fairfight.com (link in my bio), and encourage your friends in Georgia to turn out for this election 🙏🏻 #BETTERDAYS",137886,2411,1,816,140,2,5,True
7002,justintimberlake,https://www.instagram.com/p/CHgLl0VBiWE,1605210132,./imgs/CHgLl0VBiWE.png,"Interviewed my bro @tydollasign for @interviewmag, out today. Link in my bio. Also... go listen to his album 🙌🏼",308403,1883,0,111,19,2,5,False
7003,justintimberlake,https://www.instagram.com/p/CHTLYrnBaee,1604773864,./imgs/CHTLYrnBaee.png,Thank you for this @vanjones68. We are moving forward 🙏🏼 #bidenharris,297711,7464,1,69,11,2,0,True
7004,justintimberlake,https://www.instagram.com/p/CGpuYjpBTGr,1603382880,./imgs/CGpuYjpBTGr.png,"I think I was 19 here. That would have been 2000... when I spent a lot more time in the gym 😂 It was also around the first time I voted. I just remember thinking voting was cool, and it all felt very... adult — I don’t think I really understood the weight of it all or took the time to learn what my choices in candidates really meant. ⠀
⠀
Now, I know how powerful each of our voices can be.  ⠀
⠀
If you’re voting for the first time, or you’re still not sure if you even wanna vote — because you think your voice won't make an impact, or you don't trust the process, or it all seems just like a headache... all I can say is, we really need you. ⠀
⠀
This is about our children growing up in a world where racism is condemned, not tolerated. It’s about ensuring that women are empowered everywhere decisions are being made. We have to vote so we don’t go backwards.   ⠀
⠀
All of this to say, I will be voting for @joebiden and @kamalaharris. I’m voting early, and by mail this year.  ⠀
⠀
Please make a plan, and #VOTE 🙏🏻 Link in my bio.",972709,49125,1,1034,209,3,0,False
7005,justintimberlake,https://www.instagram.com/p/CFzhXhdB1Cp,1601564117,./imgs/CFzhXhdB1Cp.png,"10 years ago today The Social Network came out. A lot has changed in a decade. That’s an understatement... but I’m just gonna leave it at that. Also, drop the “The”, it’s cleaner. #TBT",636950,3807,1,184,34,0,0,False
7006,justintimberlake,https://www.instagram.com/p/CFxLEMoBmpF,1601485393,./imgs/CFxLEMoBmpF.png,"Following the debate last night, this group of young voices right here is more important than ever. @BYP100 is an organization that I’m really proud to support –– these are 18-35 year olds working to create justice and equality for all Black people. They’re posting from my page today so we can learn more about how crucial their work is today, in an America that does not denounce white supremacy... Please turn the volume up for D'atra Jackson (the National Director of BYP100).",34350,603,0,480,83,0,0,True
7007,justintimberlake,https://www.instagram.com/p/CFsanP1hJKB,1601325708,./imgs/CFsanP1hJKB.png,Back together again 🙏🏼,394439,8964,0,22,4,2,1,True
7008,justintimberlake,https://www.instagram.com/p/CEZ8YrSBgk0,1598558542,./imgs/CEZ8YrSBgk0.png,"I asked Dr. Phillip Atiba Goff to take over my page today, because he and his team are behind the scenes, working to promote police transparency and accountability. This week was, yet again, another reminder that without police transparency, our already broken system becomes even more dangerous for people of color. Please turn up your volume to learn more about this organization and their fight for a fairer system 🙏🏼",35824,1064,0,420,70,2,0,True
7009,justintimberlake,https://www.instagram.com/p/CEPUMoPB6gm,1598201780,./imgs/CEPUMoPB6gm.png,HBD KING 🙏🏼 MAMBA FOREVER,147296,1049,0,25,5,2,1,True
7010,justintimberlake,https://www.instagram.com/p/CEDAa4aBxgS,1597788901,./imgs/CEDAa4aBxgS.png,"This couldn’t come at a better time. @allinthefilm breaks down the very real issue of voter suppression in the U.S... Please watch the trailer - film is out in September 🙏🏼 The more informed we are, the more prepared we are to fight for democracy. Directed by @lizfgarbus and @misscortes feat. @staceyabrams 💯",54288,1499,0,309,53,3,0,True
7011,justintimberlake,https://www.instagram.com/p/CD4agrOBuoX,1597433354,./imgs/CD4agrOBuoX.png,2002?? 🤯 In the studio with @mrkudelka... before I ever recorded a single song for Justified. Learning the craft. #FBF,359145,6217,1,118,20,1,2,True
7012,justintimberlake,https://www.instagram.com/p/CDw_FzVhWse,1597184070,./imgs/CDw_FzVhWse.png,HISTORY 🙏🏼 CONGRATS KAMALA,428118,6528,0,26,4,2,3,False
7013,justintimberlake,https://www.instagram.com/p/CDeIz-ahPlq,1596551643,./imgs/CDeIz-ahPlq.png,"I’m just going to leave this here🙏🏼 Happy birthday, Mr. President @barackobama.",329075,9939,0,79,12,2,1,True
7014,justintimberlake,https://www.instagram.com/p/CCvuk1vhpx1,1594994571,./imgs/CCvuk1vhpx1.png,co-creator of @blklivesmatter and founder of @blackfutureslab. Thank you for coming on to talk about the incredible work you’re doing 🙏🏼,40977,1305,0,136,21,2,0,True
7015,justintimberlake,https://www.instagram.com/p/CCtkGZ6B22C,1594921772,./imgs/CCtkGZ6B22C.png,TBT time machine. Summer’s gonna look a little different this year.,604391,2290,0,67,11,0,1,False
7016,justintimberlake,https://www.instagram.com/p/CCbEg06hoVJ,1594301335,./imgs/CCbEg06hoVJ.png,Thank you for telling your story and allowing me to share 🙏🏼,37823,989,0,60,12,2,0,True
7017,justintimberlake,https://www.instagram.com/p/CCUKBZeh0Ij,1594069502,./imgs/CCUKBZeh0Ij.png,"...a state that happens to be the home of many many confederate monuments. I’ve been listening closely to the ongoing debates about what to do with these statues — and I really want to take a minute to talk about this. ⠀
⠀
When we protest racism in America, people think we are protesting America itself. Why is that the reaction? Because America was built by men who believed in and benefitted from racism. Plain and simple. ⠀
⠀
This is when you hear “But that’s all in the past”. So let’s be clear... those men who proudly owned and abused Black people are STILL celebrated all over the country. ⠀
⠀
There are roughly 1,848 confederate statues of in the US. More than half are in The South, and it’s not acceptable. No one should be protecting the legacies of confederate leaders and slave owners. 
⠀
If we plan to move forward, these monuments must come down. But let’s remember: Removing these statues does not erase our country’s vile history of oppression — removing them is a symbol of respect for Black people in America and it’s a step towards progress and actual equality for all. ⠀
⠀
This video is by @aclu_nationwide, which has been fighting hard to remove these statues across the country. Their Legal Director #JeffreyRobinson has been speaking on this issue for years (you can find more in the link in my bio). Please follow them and learn more about the history of the monuments in your own states and counties.",80921,4336,1,1427,256,0,0,True
7018,justintimberlake,https://www.instagram.com/p/CB3nKSRB0N4,1593111437,./imgs/CB3nKSRB0N4.png,"It’s been over 100 DAYS and still no justice for #BreonnaTaylor... Today in solidarity with @untilfreedom, we demand that @DanielJayCameron arrest and charge Jonathan Mattingly, Brett Hankison, Myles Cosgrove and Joshua Jaynes.⠀
⠀
We also demand that state representatives Joni Jenkins and senator Morgan McGarvey present a statewide ban on No-Knock Warrants.⠀
⠀
Link in the third slide will draft emails to local officials for you. Adding it to my bio too. ⠀
#JusticeForBreonnaTaylor #SAYHERNAME",156804,2307,3,496,75,0,3,False
7019,justintimberlake,https://www.instagram.com/p/CBtDnJChL17,1592757255,./imgs/CBtDnJChL17.png,"Boys grow up to be fathers. I think about that a lot these days. We try to teach our son to love and to respect everyone — we teach him that all people are all created equal, and that no one should be treated differently because of the color of their skin. We teach him this because one day, he will go on to teach his kids the same. It’s a cycle. And right now, as we all work to undo generations of discrimination that have plagued our system and our communities across this country... I’m reminded today that the first lessons start at home. Im grateful for both of my dads and my mother for teaching me those lessons from the beginning. And for listening to me when I had something to say that they hadn’t learned. I pray for that humility with my own son. I’m grateful for my wife, who made me a father, and is my favorite person/partner/teacher/friend in all of it. I’m grateful for my son, who is always ALWAYS teaching me right back. ⠀
⠀
Happy Father’s Day to all the Dads out there. While we owe our sons and daughters these lessons in the places where the doors close at night, I hope you are as inspired as I am to make them THE TRUTH in the places that same door opens every morning and we send them out to discover. There’s more to do. And we are built for it. After all, we are the Dads. Sending my love to you and yours.",796704,3890,0,1335,261,0,1,False
7020,justintimberlake,https://www.instagram.com/p/CBqV_SpB3Vc,1592667065,./imgs/CBqV_SpB3Vc.png,"Today @TiffanyDLoftin, the Director of the @NAACP Youth & College Division is posting from my page. She is a powerful voice for young people, and I encourage everyone to please listen and hear how she is mobilizing the next generation to dismantle racism in our homes, in our schools, and in our workplaces. People like Tiffany make me hopeful for the future of this country. @naacpyc_ #blacklivesmatter",39148,386,1,403,67,0,0,True
7021,justintimberlake,https://www.instagram.com/p/CBn2SSehM07,1592582577,./imgs/CBn2SSehM07.png,Listen to my guy @anderson._paak speak the truth. He released #LOCKDOWN last night in honor and in celebration of #Juneteenth.  The people are rising. Link in my bio - go watch 💯🙌🏼,58163,641,2,180,32,3,2,True
7022,justintimberlake,https://www.instagram.com/p/CBlN70BpE8i,1592494418,./imgs/CBlN70BpE8i.png,"@StaceyAbrams is a rockstar and needs no introduction. I'm honored to have her post from my page today –– please listen, and follow @fairfightaction and @faircount to learn more about what we can do to work for fair, free elections. #blacklivesmatter",39170,1028,1,250,41,0,0,True
7023,justintimberlake,https://www.instagram.com/p/CBgDBjDFI86,1592321061,./imgs/CBgDBjDFI86.png,"Over the next few days I wanted to share my channels with the leadership of some of the organizations I posted about the other week... people who are doing the work, fighting for justice, and laying out the steps to create necessary change. ⠀
⠀
Today, please turn your volume up for @iamrashadrobinson, the president of @colorofchange. ⠀
⠀
#blacklivesmatter",43954,657,1,357,60,0,0,True
7024,justintimberlake,https://www.instagram.com/p/CBcBNaShqjy,1592185570,./imgs/CBcBNaShqjy.png,"As a dad, this photo hurts. #RayshardBrooks was a father of three girls...1, 2, and 8 years old. He should not be dead. ⠀
⠀
Neither should #RiahMilton, #DominiqueFells, and #RobertFuller. This week, these four innocent people became victims of racism, violence, and intolerance. And we’re still waiting for Justice for #BreonnaTaylor. I’m heartbroken for their families and for this country.⠀
⠀
The system needs to change... it has repeatedly shown us that Black people in America are not safe. I’ll follow up with more resources and ways to help. #BlackLivesMatter",921784,24577,6,565,91,0,0,False
7025,justintimberlake,https://www.instagram.com/p/CA75BrxBClx,1591107538,./imgs/CA75BrxBClx.png,Black lives matter. #blackouttuesday,376602,2308,1,36,4,0,4,False
7026,justintimberlake,https://www.instagram.com/p/CAyhSB8BwQS,1590793099,./imgs/CAyhSB8BwQS.png,"Those of us who call ourselves allies need to do everything in our power to stand with the black community right NOW. BLACK people are regularly being murdered unjustly by police. We have seen it. Over and over again. This has gone on in America for too long, and it’s NEVER been okay. We have to take action, we have to make noise.⠀
⠀
For seven whole minutes, #GeorgeFloyd pleaded for his life, while Derek Chauvin, one of Minneapolis cops involved, kneeled on his neck and ignored those pleas for help.⠀
⠀
Allies... this is the time for us all to take a hard look in the mirror, share responsibility and ask our family and friends what can we do to educate our own communities. ⠀
⠀
I stand with @ColorOfChange and countless others across the country to raise my voice alongside you, and demand that all FOUR officers involved are arrested and charged with murder now. Text FLOYD to 55156. Sign the petition. Don’t stop.",285975,7324,1,921,166,0,2,False
7027,justintimberlake,https://www.instagram.com/p/CAA8cqBBI-z,1589129620,./imgs/CAA8cqBBI-z.png,"My love...⠀
⠀
You continue to keep me in complete awe every day. This family works because of your love and soulfulness. You are a dream to share all of this with. Your boys love you!! Happy Mother’s Day, ya 🦊!!⠀
⠀
HUZ",1261844,3739,0,218,43,1,1,False
7028,justintimberlake,https://www.instagram.com/p/CAA64S9hrmG,1589128798,./imgs/CAA64S9hrmG.png,"Happy Mother’s Day to my Super Hero Mother! I’m so lucky to have you as a guiding force for this crazy ride! You have taught me so much and I will always cherish every lesson. Also, you still make the best cinnamon sugar toast on the planet. I love you, Mom.",909722,3437,0,258,51,0,1,False
7029,justintimberlake,https://www.instagram.com/p/B_3_fOLBQjN,1588829224,./imgs/B_3_fOLBQjN.png,"If you’re not outraged, you should be. Justice for #AhmaudArbery.",298162,0,1,65,10,0,0,False
7030,justintimberlake,https://www.instagram.com/p/B_lgSMFhMWf,1588208902,./imgs/B_lgSMFhMWf.png,Made a playlist of some stuff I’m listening to right now... more on stories 💯 and @amazonmusic,99866,2588,0,94,17,1,2,True
7031,justintimberlake,https://www.instagram.com/p/B_A5F-BBvMv,1586984074,./imgs/B_A5F-BBvMv.png,"from my friends @theellenshow and @michaelstrahan. Go to allinchallenge.com and donate for a chance to play golf and have dinner with me and the legendary Mr. Bill Murray at Pebble Beach. The proceeds will go toward feeding those in need during this challenging time. Now, I nominate you @jimmyfallon and @tigerwoods to go all in, too. LET’S GO!",288351,6788,0,345,58,0,0,True
7032,justintimberlake,https://www.instagram.com/p/B-zpteDhwz4,1586536105,./imgs/B-zpteDhwz4.png,#FBF... also me rn. I’m sorry/you’re welcome. HAPPY TROLLS DAY 🤘🏻Who’s watching?!,714933,8997,1,81,12,2,1,False
